Position,Flux 
0,0
0.2,0
0.4,0
0.6,0
0.8,0
1,0
1.2,0
1.4,0
1.6,0
1.8,0
2,0
2.2,0
2.4,0
2.6,0
2.8,0
3,0
3.2,0
3.4,0
3.6,0
3.8,0
4,0
4.2,0
4.4,0
4.6,0
4.8,0
5,0
5.2,0
5.4,0
5.6,0
5.8,0
6,1
6.2,0
6.4,0
6.6,2
6.8,4
7,1
7.2,0
7.4,2
7.6,8
7.8,411
8,43510
8.2,44294
8.4,44565
8.6,44468
8.8,44237
9,44432
9.2,44366
9.4,44228
9.6,44191
9.8,44157
10,44388
10.2,44620
10.4,44367
10.6,44252
10.8,44624
11,44318
11.2,44618
11.4,44219
11.6,44657
11.8,44300
12,44874
12.2,44357
12.4,44254
12.6,44405
12.8,46828
13,2235
13.2,0
13.4,0
13.6,0
13.8,0
14,0
14.2,0
14.4,0
14.6,0
14.8,0
15,0
15.2,0
15.4,0
15.6,0
15.8,0
16,0
16.2,0
16.4,0
16.6,0
16.8,0
17,0
17.2,0
17.4,0
17.6,0
17.8,0
18,0
18.2,0
18.4,0
18.6,0
18.8,0
19,0
19.2,0
19.4,0
19.6,0
19.8,0
20,0
