K_eff is 1.00015
Position,Flux 
0,0.281368
0.016605,0.260098
0.03321,0.249536
0.049815,0.243159
0.06642,0.242423
0.083025,0.242628
0.09963,0.242531
0.116235,0.244764
0.13284,0.243508
0.149445,0.247652
0.16605,0.246472
0.182655,0.250335
0.19926,0.251445
0.215865,0.256588
0.23247,0.259842
0.249075,0.267393
0.26568,0.272764
0.282285,0.275791
0.29889,0.280458
0.315495,0.287012
0.3321,0.293872
0.348705,0.298731
0.36531,0.307502
0.381915,0.312862
0.39852,0.320119
0.415125,0.326048
0.43173,0.332856
0.448335,0.340678
0.46494,0.349454
0.481545,0.356438
0.49815,0.368446
0.514755,0.376743
0.53136,0.382503
0.547965,0.395066
0.56457,0.405865
0.581175,0.411537
0.59778,0.421137
0.614385,0.433979
0.63099,0.443372
0.647595,0.45478
0.6642,0.468607
0.680805,0.476962
0.69741,0.491836
0.714015,0.505191
0.73062,0.515909
0.747225,0.530782
0.76383,0.544552
0.780435,0.559735
0.79704,0.576163
0.813645,0.595134
0.83025,0.608647
0.846855,0.626447
0.86346,0.642485
0.880065,0.663185
0.89667,0.677571
0.913275,0.697912
0.92988,0.716654
0.946485,0.735584
0.96309,0.756412
0.979695,0.776358
0.9963,0.798827
1.01291,0.823874
1.02951,0.845613
1.04612,0.877559
1.06272,0.90587
1.07933,0.934048
1.09593,0.962467
1.11254,0.991986
1.12914,1.02518
1.14575,0.000846263
1.16235,1.11008
1.17896,1.12767
1.19556,1.15756
1.21217,1.17989
1.22877,1.20321
1.24538,1.23344
1.26198,1.26076
1.27859,1.2776
1.29519,1.29727
1.3118,1.31922
1.3284,1.33942
1.34501,1.36951
1.36161,1.38553
1.37822,1.40508
1.39482,1.43195
1.41143,1.45323
1.42803,1.47437
1.44464,1.49311
1.46124,1.51736
1.47785,1.53839
1.49445,1.56508
1.51106,1.59035
1.52766,1.60312
1.54427,1.62507
1.56087,1.65259
1.57748,1.6701
1.59408,1.68676
1.61069,1.70627
1.62729,1.73223
1.6439,1.74932
1.6605,1.76496
1.67711,1.78825
1.69371,1.80613
1.71032,1.82955
1.72692,1.85572
1.74353,1.87242
1.76013,1.8945
1.77674,1.91042
1.79334,1.92836
1.80995,1.9536
1.82655,1.97749
1.84316,1.98929
1.85976,2.01554
1.87637,2.03766
1.89297,2.05865
1.90958,2.08736
1.92618,2.1061
1.94279,2.12091
1.95939,2.13455
1.976,2.16178
1.9926,2.18386
2.00921,2.20362
2.02581,2.21843
2.04242,2.24302
2.05902,2.26256
2.07563,2.28826
2.09223,2.31289
2.10884,2.33737
2.12544,2.35945
2.14205,2.38947
2.15865,2.40057
2.17526,2.4204
2.19186,2.43982
2.20847,2.46363
2.22507,2.48915
2.24168,2.50813
2.25828,2.52032
2.27489,2.534
2.29149,2.56197
2.3081,2.59369
2.3247,2.6213
2.34131,2.63251
2.35791,2.66534
2.37452,2.68531
2.39112,2.71271
2.40773,2.74098
2.42433,2.75888
2.44094,2.77569
2.45754,2.79254
2.47415,2.81426
2.49075,2.83208
2.50736,2.85899
2.52396,2.88261
2.54057,2.90097
2.55717,2.93096
2.57378,2.95719
2.59038,2.982
2.60699,3.0103
2.62359,3.02647
2.6402,3.05031
2.6568,3.08257
2.67341,3.10608
2.69001,3.12977
2.70662,3.15552
2.72322,3.17274
2.73983,3.20474
2.75643,3.22539
2.77304,3.24185
2.78964,3.25617
2.80625,3.29342
2.82285,3.32058
2.83946,3.33688
2.85606,3.35083
2.87267,3.37325
2.88927,3.39613
2.90588,3.41423
2.92248,3.45357
2.93909,3.46496
2.95569,3.49729
2.9723,3.52607
2.9889,3.55303
3.00551,3.58306
3.02211,3.60839
3.03872,3.64029
3.05532,3.66793
3.07193,3.69076
3.08853,3.69664
3.10514,3.73413
3.12174,3.75018
3.13835,3.7875
3.15495,3.8195
3.17156,3.84815
3.18816,3.88039
3.20477,3.90302
3.22137,3.92641
3.23798,3.95051
3.25458,3.97728
3.27119,4.0047
3.28779,4.03019
3.3044,1.70005
3.321,2.43314
3.33761,4.20548
3.35421,4.21328
3.37082,4.24175
3.38742,4.25107
3.40403,4.27112
3.42063,4.29337
3.43724,4.31157
3.45384,4.32207
3.47045,4.33789
3.48705,4.36561
3.50366,4.37309
3.52026,4.37821
3.53687,4.40289
3.55347,4.42617
3.57008,4.44926
3.58668,4.46467
3.60329,4.4645
3.61989,4.48457
3.6365,4.49189
3.6531,4.51101
3.66971,4.53858
3.68631,4.55352
3.70292,4.56123
3.71952,4.58488
3.73613,4.6061
3.75273,4.61488
3.76934,4.61242
3.78594,4.63467
3.80255,4.65123
3.81915,4.66932
3.83576,4.67196
3.85236,4.68359
3.86897,4.70567
3.88557,4.72249
3.90218,4.74376
3.91878,4.7544
3.93539,4.76787
3.95199,4.77473
3.9686,4.79336
3.9852,4.81972
4.00181,4.83219
4.01841,4.84307
4.03502,4.87158
4.05162,4.86459
4.06822,4.88727
4.08483,4.90631
4.10144,4.90404
4.11804,4.91829
4.13465,4.93508
4.15125,4.94578
4.16786,4.94811
4.18446,4.963
4.20107,4.97279
4.21767,4.96826
4.23428,4.99135
4.25088,5.0001
4.26749,5.01442
4.28409,5.0232
4.3007,5.04802
4.3173,5.06723
4.33391,5.08385
4.35051,5.08746
4.36712,5.09011
4.38372,5.10421
4.40033,5.12155
4.41693,5.13757
4.43354,5.15034
4.45014,5.17192
