Position,Flux 
0,0.01
0.02,0
0.04,0
0.06,0
0.08,0
0.1,0
0.12,0.01
0.14,0.02
0.16,0.02
0.18,0.01
0.2,0
0.22,0
0.24,0
0.26,0.01
0.28,0
0.3,0.01
0.32,0
0.34,0
0.36,0
0.38,0.01
0.4,0.01
0.42,0.01
0.44,0.02
0.46,0.01
0.48,0.02
0.5,0.01
0.52,0.01
0.54,0.01
0.56,0
0.58,0.03
0.6,0.02
0.62,0
0.64,0.01
0.66,0.03
0.68,0
0.7,0.03
0.72,0.01
0.74,0.02
0.76,0.01
0.78,0.04
0.8,0
0.82,0.02
0.84,0.01
0.86,0.01
0.88,0
0.9,0.05
0.92,0
0.94,0
0.96,0.05
0.98,0.03
1,0.02
1.02,0.01
1.04,0.03
1.06,0.02
1.08,0.05
1.1,0.02
1.12,0.02
1.14,0.01
1.16,0.01
1.18,0.01
1.2,0
1.22,0.02
1.24,0.04
1.26,0.01
1.28,0.04
1.3,0.01
1.32,0.01
1.34,0.02
1.36,0.03
1.38,0.01
1.4,0.02
1.42,0.02
1.44,0.02
1.46,0.02
1.48,0.02
1.5,0.05
1.52,0.01
1.54,0.02
1.56,0.02
1.58,0.01
1.6,0.04
1.62,0.05
1.64,0.02
1.66,0.03
1.68,0.04
1.7,0.03
1.72,0.05
1.74,0.05
1.76,0.04
1.78,0.07
1.8,0
1.82,0.05
1.84,0.04
1.86,0.02
1.88,0.04
1.9,0.04
1.92,0.03
1.94,0.03
1.96,0.06
1.98,0.04
2,0.04
2.02,0.02
2.04,0.05
2.06,0.01
2.08,0.03
2.1,0.01
2.12,0.01
2.14,0.05
2.16,0.06
2.18,0.1
2.2,0.03
2.22,0.06
2.24,0.04
2.26,0.06
2.28,0.07
2.3,0.05
2.32,0.04
2.34,0.05
2.36,0.06
2.38,0.06
2.4,0.04
2.42,0.11
2.44,0.08
2.46,0.06
2.48,0.09
2.5,0.09
2.52,0.09
2.54,0.07
2.56,0.08
2.58,0.09
2.6,0.06
2.62,0.02
2.64,0.09
2.66,0.07
2.68,0.07
2.7,0.09
2.72,0.07
2.74,0.08
2.76,0.09
2.78,0.09
2.8,0.1
2.82,0.04
2.84,0.1
2.86,0.04
2.88,0.04
2.9,0.1
2.92,0.08
2.94,0.07
2.96,0.1
2.98,0.12
3,0.08
3.02,0.15
3.04,0.1
3.06,0.1
3.08,0.11
3.1,0.11
3.12,0.19
3.14,0.11
3.16,0.1
3.18,0.14
3.2,0.1
3.22,0.09
3.24,0.09
3.26,0.16
3.28,0.13
3.3,0.12
3.32,0.11
3.34,0.07
3.36,0.16
3.38,0.09
3.4,0.11
3.42,0.17
3.44,0.15
3.46,0.1
3.48,0.14
3.5,0.13
3.52,0.18
3.54,0.14
3.56,0.14
3.58,0.18
3.6,0.16
3.62,0.12
3.64,0.17
3.66,0.16
3.68,0.08
3.7,0.15
3.72,0.21
3.74,0.18
3.76,0.11
3.78,0.14
3.8,0.29
3.82,0.24
3.84,0.18
3.86,0.21
3.88,0.16
3.9,0.16
3.92,0.16
3.94,0.26
3.96,0.16
3.98,0.12
4,0.0255
4.02,0.03
4.04,0.027
4.06,0.03
4.08,0.0405
4.1,0.0315
4.12,0.033
4.14,0.039
4.16,0.0435
4.18,0.042
4.2,0.03
4.22,0.0495
4.24,0.0345
4.26,0.0345
4.28,0.0255
4.3,0.027
4.32,0.036
4.34,0.027
4.36,0.042
4.38,0.0465
4.4,0.0345
4.42,0.0375
4.44,0.048
4.46,0.0525
4.48,0.051
4.5,0.039
4.52,0.0285
4.54,0.0615
4.56,0.0435
4.58,0.048
4.6,0.036
4.62,0.054
4.64,0.033
4.66,0.042
4.68,0.0435
4.7,0.0495
4.72,0.048
4.74,0.045
4.76,0.0555
4.78,0.048
4.8,0.054
4.82,0.0495
4.84,0.051
4.86,0.0585
4.88,0.084
4.9,0.078
4.92,0.072
4.94,0.048
4.96,0.0735
4.98,0.0735
5,0.0675
5.02,0.078
5.04,0.0645
5.06,0.063
5.08,0.0645
5.1,0.075
5.12,0.06
5.14,0.093
5.16,0.063
5.18,0.084
5.2,0.0825
5.22,0.0825
5.24,0.084
5.26,0.063
