Position,Tally,,,
0,0,,,
0.02,1,,,
0.04,0,,,
0.06,0,,,
0.08,1,,,
0.1,2,,,
0.12,4,,Tally total,1512368
0.14,1,,Init part,1000000
0.16,0,,1.512368,
0.18,1,,,
0.2,2,,,
0.22,0,,,
0.24,2,,,
0.26,0,,,
0.28,1,,,
0.3,2,,,
0.32,0,,,
0.34,0,,,
0.36,1,,,
0.38,2,,,
0.4,0,,,
0.42,1,,,
0.44,3,,,
0.46,0,,,
0.48,1,,,
0.5,3,,,
0.52,0,,,
0.54,2,,,
0.56,3,,,
0.58,0,,,
0.6,2,,,
0.62,0,,,
0.64,2,,,
0.66,4,,,
0.68,1,,,
0.7,1,,,
0.72,2,,,
0.74,0,,,
0.76,0,,,
0.78,4,,,
0.8,0,,,
0.82,1,,,
0.84,3,,,
0.86,3,,,
0.88,3,,,
0.9,2,,,
0.92,2,,,
0.94,2,,,
0.96,2,,,
0.98,3,,,
1,2,,,
1.02,1,,,
1.04,4,,,
1.06,2,,,
1.08,2,,,
1.1,0,,,
1.12,0,,,
1.14,3,,,
1.16,1,,,
1.18,2,,,
1.2,2,,,
1.22,4,,,
1.24,3,,,
1.26,2,,,
1.28,3,,,
1.3,1,,,
1.32,2,,,
1.34,3,,,
1.36,3,,,
1.38,3,,,
1.4,3,,,
1.42,4,,,
1.44,3,,,
1.46,1,,,
1.48,0,,,
1.5,4,,,
1.52,3,,,
1.54,4,,,
1.56,1,,,
1.58,5,,,
1.6,4,,,
1.62,0,,,
1.64,2,,,
1.66,5,,,
1.68,5,,,
1.7,2,,,
1.72,0,,,
1.74,3,,,
1.76,6,,,
1.78,2,,,
1.8,1,,,
1.82,7,,,
1.84,4,,,
1.86,3,,,
1.88,1,,,
1.9,3,,,
1.92,7,,,
1.94,4,,,
1.96,6,,,
1.98,3,,,
2,4,,,
2.02,7,,,
2.04,0,,,
2.06,5,,,
2.08,1,,,
2.1,7,,,
2.12,4,,,
2.14,4,,,
2.16,4,,,
2.18,3,,,
2.2,5,,,
2.22,1,,,
2.24,3,,,
2.26,6,,,
2.28,3,,,
2.3,6,,,
2.32,7,,,
2.34,6,,,
2.36,4,,,
2.38,8,,,
2.4,8,,,
2.42,3,,,
2.44,5,,,
2.46,7,,,
2.48,4,,,
2.5,6,,,
2.52,8,,,
2.54,5,,,
