Position,Rx_rate
0,3.00E-06
0.02,0
0.04,1.00E-06
0.06,2.00E-06
0.08,1.00E-06
0.1,2.00E-06
0.12,0
0.14,0
0.16,1.00E-06
0.18,0
0.2,4.00E-06
0.22,0
0.24,2.00E-06
0.26,1.00E-06
0.28,0
0.3,0
0.32,3.00E-06
0.34,0
0.36,1.00E-06
0.38,2.00E-06
0.4,0
0.42,3.00E-06
0.44,1.00E-06
0.46,3.00E-06
0.48,1.00E-06
0.5,1.00E-06
0.52,3.00E-06
0.54,1.00E-06
0.56,2.00E-06
0.58,2.00E-06
0.6,1.00E-06
0.62,2.00E-06
0.64,2.00E-06
0.66,0
0.68,3.00E-06
0.7,0
0.72,3.00E-06
0.74,1.00E-06
0.76,0
0.78,1.00E-06
0.8,3.00E-06
0.82,0
0.84,0
0.86,2.00E-06
0.88,3.00E-06
0.9,1.00E-06
0.92,3.00E-06
0.94,5.00E-06
0.96,4.00E-06
0.98,5.00E-06
1,0
1.02,2.00E-06
1.04,1.00E-06
1.06,1.00E-06
1.08,2.00E-06
1.1,3.00E-06
1.12,1.00E-06
1.14,4.00E-06
1.16,1.00E-06
1.18,2.00E-06
1.2,2.00E-06
1.22,2.00E-06
1.24,2.00E-06
1.26,0
1.28,1.00E-06
1.3,5.00E-06
1.32,6.00E-06
1.34,2.00E-06
1.36,3.00E-06
1.38,5.00E-06
1.4,2.00E-06
1.42,3.00E-06
1.44,5.00E-06
1.46,3.00E-06
1.48,4.00E-06
1.5,4.00E-06
1.52,8.00E-06
1.54,0
1.56,3.00E-06
1.58,0
1.6,1.00E-06
1.62,4.00E-06
1.64,4.00E-06
1.66,4.00E-06
1.68,2.00E-06
1.7,1.00E-06
1.72,3.00E-06
1.74,2.00E-06
1.76,2.00E-06
1.78,6.00E-06
1.8,3.00E-06
1.82,5.00E-06
1.84,5.00E-06
1.86,2.00E-06
1.88,4.00E-06
1.9,2.00E-06
1.92,7.00E-06
1.94,5.00E-06
1.96,5.00E-06
1.98,5.00E-06
2,1.00E-06
2.02,7.00E-06
2.04,3.00E-06
2.06,1.00E-06
2.08,4.00E-06
2.1,6.00E-06
2.12,4.00E-06
2.14,3.00E-06
2.16,3.00E-06
2.18,6.00E-06
2.2,4.00E-06
2.22,9.00E-06
2.24,8.00E-06
2.26,6.00E-06
2.28,5.00E-06
2.3,8.00E-06
2.32,5.00E-06
2.34,9.00E-06
2.36,9.00E-06
2.38,6.00E-06
2.4,3.00E-06
2.42,3.00E-06
2.44,3.00E-06
2.46,4.00E-06
2.48,7.00E-06
2.5,5.00E-06
2.52,7.00E-06
2.54,5.00E-06
2.56,6.00E-06
2.58,1.00E-05
2.6,4.00E-06
2.62,6.00E-06
2.64,7.00E-06
2.66,6.00E-06
2.68,1.40E-05
2.7,8.00E-06
2.72,8.00E-06
2.74,7.00E-06
2.76,1.10E-05
2.78,1.00E-05
2.8,9.00E-06
2.82,1.10E-05
2.84,1.00E-05
2.86,8.00E-06
2.88,9.00E-06
2.9,1.30E-05
2.92,7.00E-06
2.94,6.00E-06
2.96,1.30E-05
2.98,8.00E-06
3,1.00E-05
3.02,1.10E-05
3.04,3.00E-06
3.06,1.50E-05
3.08,1.00E-05
3.1,1.40E-05
3.12,1.00E-05
3.14,7.00E-06
3.16,1.20E-05
3.18,1.50E-05
3.2,5.00E-06
3.22,6.00E-06
3.24,1.10E-05
3.26,1.30E-05
3.28,1.30E-05
3.3,1.10E-05
3.32,9.00E-06
3.34,1.60E-05
3.36,1.50E-05
3.38,1.20E-05
3.4,1.20E-05
3.42,1.50E-05
3.44,1.40E-05
3.46,1.80E-05
3.48,1.50E-05
3.5,1.60E-05
3.52,1.50E-05
3.54,1.00E-05
3.56,1.40E-05
3.58,8.00E-06
3.6,1.50E-05
3.62,2.10E-05
3.64,1.10E-05
3.66,1.40E-05
3.68,8.00E-06
3.7,1.60E-05
3.72,1.70E-05
3.74,1.50E-05
3.76,2.30E-05
3.78,1.00E-05
3.8,1.60E-05
3.82,2.20E-05
3.84,1.30E-05
3.86,1.70E-05
3.88,2.30E-05
3.9,1.60E-05
3.92,1.80E-05
3.94,1.60E-05
3.96,8.00E-06
3.98,2.30E-05
4,1.80E-05
4.02,2.80E-05
4.04,1.60E-05
4.06,2.00E-05
4.08,2.00E-05
4.1,1.80E-05
4.12,1.80E-05
4.14,3.00E-05
4.16,2.10E-05
4.18,2.70E-05
4.2,1.80E-05
4.22,2.10E-05
4.24,2.60E-05
4.26,2.50E-05
4.28,2.00E-05
4.3,3.40E-05
4.32,2.40E-05
4.34,2.30E-05
4.36,2.60E-05
4.38,2.20E-05
4.4,2.40E-05
4.42,2.40E-05
4.44,2.30E-05
4.46,3.50E-05
4.48,2.30E-05
4.5,2.90E-05
4.52,2.70E-05
4.54,3.00E-05
4.56,3.10E-05
4.58,3.70E-05
4.6,4.00E-05
4.62,3.70E-05
4.64,3.30E-05
4.66,2.60E-05
4.68,3.50E-05
4.7,3.50E-05
4.72,5.40E-05
4.74,3.80E-05
4.76,3.00E-05
4.78,3.40E-05
4.8,3.40E-05
4.82,4.00E-05
4.84,2.80E-05
4.86,3.80E-05
4.88,3.70E-05
4.9,5.10E-05
4.92,3.90E-05
4.94,4.60E-05
4.96,4.40E-05
4.98,4.80E-05
5,3.20E-05
5.02,4.00E-05
5.04,3.90E-05
5.06,5.00E-05
5.08,4.70E-05
5.1,5.40E-05
5.12,6.50E-05
5.14,5.40E-05
5.16,4.10E-05
5.18,6.00E-05
5.2,5.00E-05
5.22,5.30E-05
5.24,6.30E-05
5.26,5.50E-05
5.28,5.60E-05
5.3,5.80E-05
5.32,5.70E-05
5.34,5.50E-05
5.36,5.80E-05
5.38,6.10E-05
5.4,5.80E-05
5.42,5.70E-05
5.44,6.50E-05
5.46,5.70E-05
5.48,6.20E-05
5.5,5.80E-05
5.52,6.40E-05
5.54,6.40E-05
5.56,5.40E-05
5.58,8.10E-05
5.6,5.80E-05
5.62,8.50E-05
5.64,8.40E-05
5.66,7.60E-05
5.68,7.70E-05
5.7,8.60E-05
5.72,7.40E-05
5.74,8.10E-05
5.76,8.60E-05
5.78,7.80E-05
5.8,7.20E-05
5.82,8.30E-05
5.84,9.30E-05
5.86,8.70E-05
5.88,8.60E-05
5.9,9.20E-05
5.92,9.70E-05
5.94,9.20E-05
5.96,0.000103
5.98,0.000108
6,9.00E-05
6.02,9.80E-05
6.04,0.000109
6.06,0.000112
6.08,0.000106
6.1,0.000138
6.12,0.000127
6.14,0.000124
6.16,0.000127
6.18,0.000122
6.2,0.000102
6.22,0.000127
6.24,0.000135
6.26,0.000134
6.28,0.000133
6.3,0.000135
6.32,0.000141
6.34,0.000152
6.36,0.000154
6.38,0.000131
6.4,0.000153
6.42,0.000177
6.44,0.000159
6.46,0.000167
6.48,0.000173
6.5,0.000172
6.52,0.000164
6.54,0.000162
6.56,0.000168
6.58,0.000162
6.6,0.000199
6.62,0.000174
6.64,0.000184
6.66,0.000209
6.68,0.000208
6.7,0.000194
6.72,0.000187
6.74,0.000198
6.76,0.000208
6.78,0.000234
6.8,0.000244
6.82,0.000233
6.84,0.000259
6.86,0.000202
6.88,0.000247
6.9,0.000228
6.92,0.000242
6.94,0.000232
6.96,0.000267
6.98,0.000274
7,0.000274
7.02,0.000277
7.04,0.000268
7.06,0.00028
7.08,0.000299
7.1,0.00027
7.12,0.000294
7.14,0.000282
7.16,0.000322
7.18,0.000332
7.2,0.000337
7.22,0.000369
7.24,0.000346
7.26,0.000316
7.28,0.000358
7.3,0.000357
7.32,0.000352
7.34,0.000385
7.36,0.000384
7.38,0.000352
7.4,0.000403
7.42,0.0004
7.44,0.000442
7.46,0.000415
7.48,0.000439
7.5,0.000439
7.52,0.000446
7.54,0.000469
7.56,0.0005
7.58,0.000519
7.6,0.000514
7.62,0.000496
7.64,0.000562
7.66,0.000548
7.68,0.00053
7.7,0.000583
7.72,0.000521
7.74,0.000649
7.76,0.000594
7.78,0.00059
7.8,0.000607
7.82,0.000617
7.84,0.00063
7.86,0.000627
7.88,0.000694
7.9,0.000676
7.92,0.000684
7.94,0.000706
7.96,0.000734
7.98,0.000745
8,0.000757
8.02,0.000739
8.04,0.000788
8.06,0.000758
8.08,0.000855
8.1,0.000823
8.12,0.000808
8.14,0.0009
8.16,0.000893
8.18,0.000853
8.2,0.000887
8.22,0.000897
8.24,0.000956
8.26,0.000975
8.28,0.000973
8.3,0.000983
8.32,0.000997
8.34,0.001033
8.36,0.001076
8.38,0.001121
8.4,0.001049
8.42,0.001236
8.44,0.001173
8.46,0.001236
8.48,0.001145
8.5,0.00126
8.52,0.001213
8.54,0.001291
8.56,0.00129
8.58,0.001274
8.6,0.001384
8.62,0.001378
8.64,0.001421
8.66,0.001405
8.68,0.001461
8.7,0.001513
8.72,0.001593
8.74,0.00161
8.76,0.001537
8.78,0.001614
8.8,0.00163
8.82,0.001723
8.84,0.001692
8.86,0.001799
8.88,0.001764
8.9,0.001726
8.92,0.001941
8.94,0.001895
8.96,0.001977
8.98,0.002028
9,0.002006
9.02,0.002109
9.04,0.002094
9.06,0.002109
9.08,0.002245
9.1,0.002221
9.12,0.002234
9.14,0.002249
9.16,0.002358
9.18,0.002324
9.2,0.002393
9.22,0.002365
9.24,0.002416
9.26,0.002397
9.28,0.002516
9.3,0.002489
9.32,0.002582
9.34,0.002622
9.36,0.002611
9.38,0.002611
9.4,0.00269
9.42,0.002693
9.44,0.002735
9.46,0.002778
9.48,0.002767
9.5,0.0028
9.52,0.002936
9.54,0.00282
9.56,0.002758
9.58,0.002894
9.6,0.002957
9.62,0.002967
9.64,0.002999
9.66,0.002895
9.68,0.002915
9.7,0.002983
9.72,0.003107
9.74,0.00302
9.76,0.003091
9.78,0.003176
9.8,0.003147
9.82,0.003025
9.84,0.00311
9.86,0.003145
9.88,0.003226
9.9,0.003147
