Position,Mean,Variance 
0,0.260455,0
0.0156,0.241422,0.000362232
0.0312,0.230714,0.000470825
0.0468,0.223505,0.000509029
0.0624,0.218511,0.000506994
0.078,0.214561,0.000500492
0.0936,0.211561,0.000483003
0.1092,0.208982,0.000469179
0.1248,0.207156,0.000443728
0.1404,0.205629,0.000420346
0.156,0.204483,0.00039526
0.1716,0.203669,0.000369611
0.1872,0.203027,0.000346124
0.2028,0.202624,0.00032351
0.2184,0.202375,0.000302811
0.234,0.202147,0.000284665
0.2496,0.201878,0.000269082
0.2652,0.201586,0.000255579
0.2808,0.201573,0.00024213
0.2964,0.201774,0.00023079
0.312,0.202021,0.000221016
0.3276,0.202459,0.000215011
0.3432,0.202892,0.000209784
0.3588,0.20337,0.000206303
0.3744,0.203862,0.000203842
0.39,0.204391,0.000203022
0.4056,0.204948,0.000203544
0.4212,0.205529,0.000205417
0.4368,0.206269,0.000213652
0.4524,0.206942,0.000219645
0.468,0.207732,0.000231323
0.4836,0.208539,0.000244247
0.4992,0.209395,0.000260292
0.5148,0.210301,0.000279762
0.5304,0.211247,0.000302143
0.546,0.212283,0.000331341
0.5616,0.213233,0.0003549
0.5772,0.214297,0.000387414
0.5928,0.2154,0.000423766
0.6084,0.216575,0.000467013
0.624,0.217821,0.000517704
0.6396,0.21923,0.000586716
0.6552,0.220627,0.00065512
0.6708,0.222019,0.00072349
0.6864,0.223494,0.000803101
0.702,0.224994,0.000886947
0.7176,0.226535,0.000977336
0.7332,0.228155,0.00108023
0.7488,0.229847,0.00119564
0.7644,0.231534,0.00131129
0.78,0.233251,0.00143298
0.7956,0.235066,0.0015733
0.8112,0.236916,0.00172157
0.8268,0.238889,0.00189598
0.8424,0.240858,0.00207105
0.858,0.242865,0.00225543
0.8736,0.244923,0.00245313
0.8892,0.247041,0.00266651
0.9048,0.2492,0.00289166
0.9204,0.251379,0.00312369
0.936,0.253623,0.00337451
0.9516,0.255915,0.00364045
0.9672,0.258295,0.00393398
0.9828,0.260768,0.00425773
0.9984,0.26333,0.00461252
1.014,0.265877,0.00496425
1.0296,0.268495,0.00534252
1.0452,0.271156,0.00573844
1.0608,0.273941,0.00618255
1.0764,0.27676,0.00664259
1.092,0.279599,0.0071131
1.1076,0.282497,0.00761047
1.1232,0.285573,0.00818783
1.1388,0.288747,0.00881258
1.1544,0.292098,0.0095259
1.17,0.29552,0.0102788
1.1856,0.298986,0.0110584
1.2012,0.302548,0.0118935
1.2168,0.306139,0.0127486
1.2324,0.309726,0.0136059
1.248,0.313348,0.0144872
1.2636,0.316934,0.0153522
1.2792,0.320605,0.0162725
1.2948,0.324375,0.0172587
1.3104,0.328214,0.0182934
1.326,0.332021,0.0193123
1.3416,0.335814,0.0203281
1.3572,0.339754,0.0214472
1.3728,0.343674,0.0225587
1.3884,0.347628,0.0236994
1.404,0.351579,0.0248437
1.4196,0.355617,0.0260575
1.4352,0.359565,0.0272115
1.4508,0.363513,0.0283713
1.4664,0.367479,0.0295514
1.482,0.371409,0.0307109
1.4976,0.375373,0.0319027
1.5132,0.379358,0.0331173
1.5288,0.383334,0.0343325
1.5444,0.387402,0.0356272
1.56,0.391508,0.0369604
1.5756,0.395605,0.0382931
1.5912,0.399723,0.0396517
1.6068,0.40381,0.0409908
1.6224,0.407885,0.0423273
1.638,0.411909,0.0436283
1.6536,0.415953,0.0449541
1.6692,0.420025,0.0463119
1.6848,0.424076,0.047659
1.7004,0.428074,0.0489687
1.716,0.432093,0.0503042
1.7316,0.436103,0.0516397
1.7472,0.440112,0.0529824
1.7628,0.444102,0.0543171
1.7784,0.448103,0.0556699
1.794,0.452105,0.0570318
1.8096,0.456101,0.0583967
1.8252,0.460086,0.0597596
1.8408,0.464109,0.061167
1.8564,0.468129,0.0625805
1.872,0.472176,0.0640285
1.8876,0.47626,0.0655216
1.9032,0.480241,0.0669223
1.9188,0.484203,0.0683136
1.9344,0.488211,0.0697587
1.95,0.49223,0.0712243
1.9656,0.496214,0.0726636
1.9812,0.500238,0.0741526
1.9968,0.504245,0.0756328
2.0124,0.508259,0.077129
2.028,0.512233,0.0785933
2.0436,0.516207,0.0800672
2.0592,0.520223,0.0815937
2.0748,0.524224,0.0831146
2.0904,0.528184,0.0846003
2.106,0.532111,0.0860598
2.1216,0.536085,0.0875789
2.1372,0.540041,0.0890893
2.1528,0.544007,0.0906185
2.1684,0.547995,0.0921821
2.184,0.551983,0.0937552
2.1996,0.555974,0.0953403
2.2152,0.559973,0.0969441
2.2308,0.563964,0.0985488
2.2464,0.567963,0.100172
2.262,0.571912,0.101747
2.2776,0.575841,0.103309
2.2932,0.579768,0.104878
2.3088,0.583599,0.106347
2.3244,0.587451,0.107848
2.34,0.591312,0.10937
2.3556,0.595146,0.11087
2.3712,0.598974,0.112373
2.3868,0.602836,0.113925
2.4024,0.606715,0.115507
2.418,0.610601,0.117107
2.4336,0.614416,0.118632
2.4492,0.618202,0.120131
2.4648,0.621986,0.121638
2.4804,0.625782,0.123169
2.496,0.629537,0.12466
2.5116,0.633309,0.126181
2.5272,0.637077,0.127708
2.5428,0.640869,0.129272
2.5584,0.644649,0.130832
2.574,0.648447,0.132424
2.5896,0.652241,0.134021
2.6052,0.656049,0.135644
2.6208,0.659902,0.137336
2.6364,0.663756,0.139039
2.652,0.66756,0.140685
2.6676,0.671326,0.142293
2.6832,0.675089,0.143905
2.6988,0.678825,0.145494
2.7144,0.682545,0.147069
2.73,0.686308,0.148712
2.7456,0.690054,0.150342
2.7612,0.693842,0.152037
2.7768,0.697625,0.153735
2.7924,0.701368,0.155388
2.808,0.705068,0.156995
2.8236,0.708728,0.158556
2.8392,0.712449,0.16021
2.8548,0.716162,0.161862
2.8704,0.719859,0.163502
2.886,0.723593,0.165202
2.9016,0.727289,0.16686
2.9172,0.730999,0.168547
2.9328,0.734675,0.170195
2.9484,0.738393,0.171912
2.964,0.742128,0.173662
2.9796,0.745863,0.175422
2.9952,0.749621,0.177224
3.0108,0.753336,0.178975
3.0264,0.757039,0.180717
3.042,0.760716,0.182432
3.0576,0.764439,0.184222
3.0732,0.768099,0.185931
3.0888,0.771773,0.187668
3.1044,0.775467,0.189446
3.12,0.779133,0.191192
3.1356,0.782733,0.19285
3.1512,0.786324,0.194505
3.1668,0.789902,0.19615
3.1824,0.793441,0.197749
3.198,0.796986,0.199364
3.2136,0.800564,0.201039
3.2292,0.804153,0.202738
3.2448,0.807692,0.204373
3.2604,0.811213,0.205992
3.276,0.814768,0.207669
3.2916,0.818296,0.209317
3.3072,0.821795,0.210929
3.3228,0.825267,0.212511
3.3384,0.828741,0.214105
3.354,0.832233,0.215736
3.3696,0.835716,0.217362
3.3852,0.839204,0.219004
3.4008,0.84265,0.220594
3.4164,0.846097,0.222193
3.432,0.849564,0.223832
3.4476,0.853011,0.225449
